Neighborhood;BldClassif;YearBuilt;GrossSqFt;GrossIncomeSqFt;MarketValueperSqFt
3;1;1927;93293;21;87
4;1;1930;67704;29.3;136
9;1;1922;38277;31;144
15;1;1958;94835;28.5;118
4;1;1920;45000;32;149
9;1;1926;56147;33;154
1;1;1928;48894;40.1;197
1;1;1963;217143;31.9;149
30;1;1935;200000;33;154
19;1;1930;118694;30;140
2;1;1920;27000;35;163
23;1;1959;115914;36.1;168
9;1;1964;625517;36;168
2;1;1926;56527;34;158
21;1;1922;82644;36;168
1;2;1910;8395;38;177
7;1;1924;42814;28;130
31;1;1920;43094;28.8;119
7;1;1920;23676;28;116
5;2;1915;9190;37.5;175
28;2;1928;16776;35.8;167
30;2;1920;9535;33;70
19;1;1929;387094;33;154
7;1;1925;161425;23;95
22;2;1900;20316;15.5;32.9
4;1;1929;53736;31;144
19;1;1930;45183;31;144
4;2;1920;8965;33;154
28;2;1900;8750;37.5;175
1;1;1962;80056;33;154
3;1;1930;110740;18;67
2;1;1926;56252;41.7;204
1;1;1915;55639;41.2;203
3;2;1920;14255;22;91
4;2;1920;8830;32;149
4;1;1925;9970;37;173
4;1;1931;211270;30;140
3;1;1964;63550;25;104
12;1;1920;31850;12;33.6
1;1;1975;102593;34;158
19;2;1910;7825;35;164
25;1;1920;17312;36.1;168
31;1;1915;70000;33.3;154
4;1;1962;223473;29;135
17;2;1910;16614;15.66;33.2
31;1;1925;24500;34.7;161
9;1;1968;201052;34;158
4;2;1910;9190;34;159
21;1;1916;89651;34;158
1;2;1910;10060;41;201
1;1;1926;35815;46;226
26;1;1955;1231250;19;71
19;1;1927;128114;29;135
4;2;1920;10465;40;196
1;2;1910;10060;41;201
1;1;1916;116000;41.2;203
4;1;1925;11295;42;206
5;2;1900;31206;38.5;189
7;1;1910;26928;26;108
4;1;1960;215732;29;135
19;1;1929;130000;30.4;142
4;1;1973;138304;32;146
1;1;1924;38630;38.1;187
1;2;1910;11334;39;191
1;2;1910;6875;44;217
30;1;1945;28098;32;149
4;2;1910;8020;29;135
4;2;1900;9215;32;149
23;1;1969;205000;34.9;162
15;0;1909;51206;31.2;145
15;2;1940;37887;29;135
18;1;1920;73272;15;51
1;1;1949;235448;39.1;192
5;1;1890;14328;29.3;137
4;2;1920;8805;34;158
3;1;1930;53971;19;71
1;1;1964;81000;33;154
1;1;1928;43878;38;177
2;1;1952;469263;33;154
7;1;1915;177048;23;95
17;2;1910;8349;20.85;44.2
19;2;1926;15210;40;197
15;2;1910;9580;30.8;65
2;1;1901;40572;36.4;169
17;1;1920;23050;14.29;30.3
14;1;1880;26200;40;196
9;1;1929;117150;35;163
3;1;1910;47234;25;104
4;1;1925;54997;33;154
1;1;1920;87968;29;135
19;2;1910;7825;38;178
29;1;1905;32032;29;135
7;1;1900;11863;31;144
1;1;1959;208373;32.4;151
23;0;1910;26615;29;135
7;1;1931;98081;25;104
29;0;1906;101808;28.5;133
1;1;1926;61051;31;144
15;2;1901;8855;39.5;84
1;1;1963;89890;33;154
1;1;1912;158445;33;154
1;1;1929;98373;33;153
1;1;1962;306968;36;168
1;1;1937;38844;36;168
2;0;1900;29351;32.7;152
5;0;1920;47846;34.5;161
11;2;1900;23142;14.57;30.9
22;2;1910;14025;13.2;28
11;1;1903;55458;13.46;28.5
15;2;1920;10250;28.3;117
9;1;1974;247176;42;206
22;1;1910;44742;13;27.5
7;1;1916;59824;28;116
20;0;1920;38983;31;144
4;1;1958;123333;30;139
19;1;1931;125000;28.3;118
7;1;1928;55217;26;108
1;2;1910;8000;41;201
14;1;1909;40500;36;168
7;2;1900;7288;34;158
3;1;1900;44336;23;95
