Neighborhood;BldClassif;YearBuilt;GrossSqFt;GrossIncomeSqFt;MarketValueperSqFt
17;1;1904;31752;14.18;30.1
2;1;1940;45720;41.2;203
9;1;1910;19190;33;154
4;1;1923;9995;39;191
15;2;1920;9645;33.2;154
14;1;1910;14700;38;177
10;2;1905;19480;18.51;39.2
26;1;1960;1034940;20.9;78
18;1;1910;52782;15;51
4;1;1925;207542;35.5;166
20;0;1907;102017;28.5;132
5;1;1961;142941;34.1;159
28;0;1940;16550;30.5;142
3;1;1922;61344;33;154
19;2;1902;17076;35;163
4;1;1961;91090;34;158
15;1;1963;233429;25;104
1;1;1938;62100;42.2;208
25;2;1930;7670;37.2;173
17;2;1926;17455;16.01;33.9
12;2;1920;12585;16;33.9
15;0;1923;56967;29;135
19;1;1967;443522;30.4;142
1;1;1923;183919;33.3;155
14;0;1900;76550;36;167
12;2;1900;15084;12;25.5
3;1;1909;102951;21;87
24;2;1905;28512;27.7;59
1;2;1910;9620;45;221
27;2;1900;8845;29.8;139
19;1;1967;91282;32;149
15;1;1930;44800;36.8;172
9;2;1910;5525;35;163
4;1;1958;250097;33.5;156
9;1;1925;100772;32;149
4;1;1941;32658;35;163
5;1;1961;94144;34;158
29;0;1922;39471;32.6;152
17;2;1900;11246;15.35;32.5
31;1;1921;60600;26;108
4;1;1925;70322;31.9;149
19;1;1948;147000;28;116
17;2;1940;34560;16.33;34.7
15;1;1920;10015;40.9;191
17;1;1930;27709;16.11;34.1
4;1;1908;102881;31;145
28;2;1937;12636;29.8;63
4;1;1925;122701;32.4;151
1;2;1910;8166;36;168
2;1;1926;269119;38.6;190
4;2;1910;43080;35;163
26;2;1920;8750;23.2;49.1
4;2;1920;9764;45;221
6;1;1929;114992;26;108
23;1;1955;153693;33.2;155
9;1;1905;66847;30;140
26;1;1972;228000;19.25;40.8
24;1;1963;108402;30;139
5;1;1962;92998;35.5;166
14;1;1915;85676;31.6;147
7;1;1901;78725;28;116
3;1;1930;37345;28;116
7;1;1929;396076;25;104
3;1;1907;27592;23;95
8;1;1927;73125;34;159
6;2;1920;35625;30;64
34;2;1910;8530;18.24;38.7
7;1;1936;52990;21;87
4;1;1910;13000;37;172
14;1;1900;9924;38;177
30;1;1941;57500;30;140
19;2;1900;6440;44;216
4;1;1910;33500;37;172
18;1;1927;39708;15;51
2;0;1930;196920;39.4;193
5;0;1920;63000;35.7;167
1;1;1948;46230;32;149
1;1;1929;75133;32;149
14;1;1895;49170;36;168
4;1;1926;64058;29.9;139
4;1;1929;166317;26.7;111
11;1;1913;17875;23.33;97
1;1;1927;51988;38;177
14;1;1900;30500;27;112
18;1;1923;63600;15;51
1;1;1925;36301;32;149
1;1;1928;192445;37.1;173
28;2;1900;8655;37.8;177
14;1;1959;43346;36;168
7;1;1910;21258;27;112
19;1;1962;115020;33;154
6;2;1901;7500;31;144
28;2;1900;21255;23.35;49.4
19;1;1955;319696;29;135
1;1;1962;39375;36;168
15;0;1906;77530;31.7;148
4;1;1912;48432;34;158
13;2;1901;16746;18.31;69
17;2;1909;15740;23.86;51
6;2;1901;7640;31;144
7;1;1925;141426;24;100
22;2;1907;20026;16.5;35
15;0;1920;44004;28;116
7;1;1924;94659;25;104
7;1;1900;10568;31;145
17;1;1910;33230;16.73;35.5
14;0;1903;60000;36;168
4;1;1971;154185;32;149
3;1;1926;114330;19;71
15;0;1900;32950;30.3;141
6;2;1910;8175;31;144
6;2;1901;10200;31;144
2;1;1900;60692;32;149
4;1;1928;51475;30.4;142
7;1;1911;56949;29;120
6;2;1920;9920;31;144
4;1;1925;162651;26.7;111
5;2;1910;9270;38.3;188
3;1;1915;26000;25;58
22;1;1912;40778;13;27.5
14;0;1900;28158;27.9;115
7;2;1900;6150;34;158
1;1;1914;130533;32;149
28;2;1925;20076;24.6;52
19;1;1928;71784;32;149
3;1;1912;141460;22.5;93
9;1;1948;79050;39;191
15;2;1910;13830;36.9;172
12;2;1926;17380;12;25.4
7;1;1929;600613;29;135
5;1;1930;36760;26.7;124
11;1;1931;100316;19.29;72
1;1;1932;89016;33;154
28;2;2001;9664;38.8;190
1;1;1914;95615;43.7;214
7;2;1900;10910;53;260
1;1;1929;63488;35;164
1;1;1917;156390;39.1;192
1;1;1930;216186;32;149
15;0;1909;45451;32.6;152
34;1;1920;22068;18.27;38.7
28;2;1900;12030;25.4;54
15;2;1850;6900;32.6;152
4;2;1910;19148;39;192
22;1;1930;326008;15;51
23;1;1940;55737;35;163
14;1;1900;32088;26;108
25;1;1927;78382;33.3;156
16;1;1925;62263;14;43.5
4;2;1910;11930;36;168
9;1;1925;148845;34;159
1;1;1966;388735;31.9;149
21;1;1920;33800;33;154
17;2;1910;20660;15.64;53
9;1;1929;182048;35;163
4;1;1910;64922;29.3;136
19;2;1900;6040;32;149
14;0;1900;70759;40;196
2;1;1952;100591;34.3;160
25;1;1962;222543;34.4;160
18;2;1909;20720;14;43.6
25;1;1972;158337;34;159
2;0;1900;36016;34.7;162
4;1;1964;112037;30;140
1;1;1930;161572;33.4;156
29;0;1924;61418;30;140
7;1;1901;40916;26;108
19;2;1900;6040;32;149
4;1;1929;142075;34;158
4;1;1930;146235;33;154
4;2;1920;19148;39;192
8;1;1926;124081;23;95
17;1;1913;46410;14.96;31.7
1;1;1925;47245;35;163
6;2;1901;9730;32;68
20;0;1920;22000;33;154
25;1;1965;161931;38;177
19;1;1931;67000;31;144
18;2;1925;34200;14;43.6
4;1;1963;156729;29;135
16;1;1953;55296;15;51
1;1;1915;147257;34.5;161
15;2;1901;9985;34.1;158
25;2;1900;11935;29;61
25;0;1914;42067;36.4;169
23;1;1941;211910;34;159
6;2;1910;8175;31;144
7;2;1900;12628;33;154
19;1;1974;315078;31.9;149
25;1;1950;40904;35.2;164
23;1;1916;142836;34;158
4;2;1930;10090;41;201
27;2;1900;7001;37;173
12;2;1900;9410;15;31.8
1;1;1910;9435;36.4;170
5;2;1915;24116;31.9;149
13;2;1920;21582;19.12;40.5
3;1;1922;145480;19;71
26;2;1900;8845;39;83
2;1;1921;156650;40.2;197
19;1;1930;86182;30;139
15;2;1901;10524;40.9;200
36;1;1960;515425;28.9;120
1;1;1928;21814;38.1;187
13;1;1912;50220;20.99;87
7;1;1930;15658;39;181
23;2;1920;6876;31;144
4;1;1924;119281;30;140
9;1;1924;30265;32;149
10;2;1910;9720;21.57;45.8
14;2;1910;9398;36;168
1;1;1912;64827;43.2;211
6;2;1901;9650;32;68
1;2;1910;11010;38;177
20;0;1905;37857;31;144
14;2;1900;12662;35;163
9;1;1927;178893;32;149
1;1;1963;112900;33;154
7;1;1918;117216;25;103
2;1;1957;77829;29.6;137
12;2;1900;12585;16;33.9
12;2;1910;12270;16;54
2;0;1930;115000;39.1;192
15;2;1915;12080;32.9;153
1;1;1913;95603;29;135
22;2;1907;13280;14;29.7
19;1;1960;87100;32;149
1;1;1927;63296;34.5;161
21;1;1923;57000;35;163
14;2;1920;11070;35;163
15;1;1900;22700;31.1;144
14;0;1900;27150;35;163
13;1;1910;148982;19.93;75
1;1;1927;88829;33;154
27;1;1920;13950;39;191
7;1;1923;39941;22;91
4;1;1917;51184;35.5;165
19;1;1928;94516;32;149
18;1;1941;43737;15;51
1;1;1961;272440;38.1;187
1;1;1930;243000;30.9;144
2;0;1900;32440;30;140
23;1;1930;28250;35.4;165
5;1;1961;364679;31.8;148
1;1;1958;177975;32.9;153
5;2;1900;25281;38.8;190
25;1;1931;98359;33.9;158
19;1;1930;418312;33;154
13;2;1920;19504;19.12;40.6
14;0;1900;27150;35;163
18;1;1951;101108;15;51
28;1;1920;16914;26.5;56
7;1;1900;65522;20;83
9;1;1922;41034;31;145
14;1;1920;20068;31.4;146
1;2;1910;11550;39;191
1;1;1918;62352;38;176
4;1;1929;114003;30;139
4;1;1915;166596;36;167
19;1;1951;455000;30.4;142
9;1;1926;58723;35;163
14;2;1900;22513;42;206
7;2;1900;15240;32;68
8;1;1926;155979;29;135
11;1;1901;49721;13.46;28.6
2;0;1903;37380;36.1;168
28;2;1937;11610;28.7;119
17;1;1920;29715;11.13;23.59
18;1;1917;60355;15;51
4;1;1910;147991;32;149
32;2;1910;11718;33;154
1;1;1963;160311;33;153
1;2;1910;13500;36;167
2;1;1924;95117;37.8;186
34;2;1910;9245;17.97;38.1
15;0;1910;53350;30.9;144
22;1;1910;48210;12.5;29.2
27;1;1950;13000;39;192
9;1;1975;186737;35;163
12;1;1920;31430;12;25.5
5;2;1960;215890;22.23;47.2
1;1;1913;66745;31;144
5;0;1939;100320;35.2;163
1;1;1950;18450;32;149
9;1;1907;64421;27;112
17;1;1904;57516;12.78;27.1
1;1;1903;23521;40;196
5;2;1900;12271;38.7;190
4;1;1963;137375;29;135
4;1;1921;16800;43;211
16;1;1951;62110;14;43.6
7;1;1905;101145;30;139
26;2;1900;8928;38.5;189
26;1;1964;136070;18;67
1;1;1920;43410;38;177
18;1;1926;57796;15;51
3;1;1926;166617;19.5;73
3;1;1917;53297;21.5;89
3;1;1910;53093;20;75
15;2;1917;24462;33.9;158
4;1;1929;166600;25.8;107
1;1;1955;181000;33.5;156
25;1;1929;138470;32;149
22;2;1905;16795;14;29.7
1;1;1960;132748;33;154
28;0;1920;31500;28;116
3;1;1922;132981;18.5;69
19;1;1930;93096;31;144
7;1;1910;25270;21;87
28;2;1930;14910;26;55
5;2;1900;36850;34;72
4;1;1959;42570;34;158
1;1;1923;97328;33;154
5;2;1947;10000;37.5;175
4;1;1929;73878;31;145
34;2;1930;17400;16.38;34.7
23;1;1900;7495;35;163
4;1;1929;94409;30;140
22;1;1923;81804;12;33.7
1;1;1930;64874;34;159
4;2;1915;9180;44;216
2;1;1952;67421;36.2;169
12;2;1926;15072;12;25.4
30;1;1909;120738;33;154
17;1;1900;33953;14.85;31.5
7;1;1923;139009;23;95
35;2;1920;7825;26;108
4;1;1926;211870;34.5;160
7;1;1924;51925;21;87
1;1;1962;77928;32;149
11;1;1920;19690;23.33;96
5;1;1930;141000;36;167
25;1;1903;48234;35.2;164
4;1;1905;25000;34;158
2;1;1903;38372;35.7;166
9;1;1962;426476;32;149
17;2;1910;13590;18.77;39.8
15;1;1950;31759;31;145
20;0;1905;22220;32;149
4;1;1920;42250;34;158
3;2;1910;9755;23.5;55
11;1;1900;33058;22.33;93
12;2;1920;13191;16;33.9
1;2;1910;9720;43;211
2;2;1900;9580;41.8;205
4;1;1941;46032;35;163
29;2;1920;9455;33.3;71
7;1;1950;56023;23;95
7;1;1913;71126;25;104
4;2;1920;8590;34.5;161
5;2;1915;8125;38.2;187
1;1;1928;132611;32.9;153
7;1;1929;202485;23;95
19;1;1930;12235;36;168
7;1;1923;42707;22;91
22;2;1910;34230;15;51
6;2;1901;9730;31;145
4;1;1910;22812;32.5;151
34;2;1910;8530;17.97;38.1
4;1;1923;10220;41;202
3;1;1925;38334;33;154
9;1;1926;68989;27;112
15;0;1907;50400;31.5;147
10;2;1910;19255;21.92;46.5
16;1;1939;87400;14;43.6
1;1;1963;325173;31;145
1;1;1940;220003;40.1;197
1;1;1930;132385;33;153
12;2;1906;17380;12;25.4
29;1;1930;24646;32;149
28;1;1900;30018;25.2;54
3;1;1918;41132;19;71
1;2;1910;98580;35;163
7;1;1926;64968;22;91
2;1;1900;73098;35.6;166
1;1;1920;28080;46.9;230
4;2;1905;9324;33;153
27;2;1900;6605;39.2;192
28;2;1910;10585;30.7;65
1;1;1958;276481;31;144
4;2;1910;8562;41;201
2;2;1909;44249;42.9;211
10;2;1910;20868;13;27.6
15;2;1921;13004;32.3;151
3;1;1920;78701;26;108
19;1;1928;249299;34;158
19;1;1960;58500;34;158
3;1;1926;94455;20;75
17;2;1900;29269;15.46;32.8
5;1;1918;31128;33.7;157
4;1;1926;49435;34;158
1;1;1910;22341;37;172
12;1;1926;41460;11;23.32
27;1;1920;22266;36;168
3;1;1920;46810;22.5;93
4;1;1980;192445;37.7;176
10;1;1926;104187;19.54;41.5
23;1;1953;200000;34.8;162
22;2;1910;15175;15;31.8
10;1;1910;41702;12;25.4
19;1;1929;92593;31;145
5;1;1964;165436;36;167
10;2;1910;12640;13;27.5
19;1;1977;406179;40;196
28;1;1950;8720;34.3;159
4;2;1920;11930;36;168
17;1;1910;37875;16.73;35.4
4;2;1920;10715;41;202
17;1;1912;46752;14.96;31.7
4;2;1930;17580;37.5;175
28;2;1900;12330;36;76
26;2;1920;10070;31.9;149
4;1;1962;10190;39;191
2;1;1925;60583;32.2;150
19;1;1928;149000;34;158
27;2;1900;13110;37.1;173
15;2;1900;6500;36.2;168
19;1;1960;125800;33;153
4;1;1929;124648;36.6;170
20;0;1908;60139;33;154
4;1;1962;81215;32;149
22;1;1924;76536;12;33.7
1;1;1949;91285;33;153
7;1;1971;224530;25;53
1;1;1928;93515;38;178
25;1;1930;151832;34.5;161
19;1;1988;129255;35;163
6;2;1910;19471;29;135
26;2;1920;11652;31.3;146
1;1;1967;350000;31.9;149
34;2;1920;8000;17.97;38.1
14;0;1920;37904;27.7;129
25;2;1903;16278;35;163
14;0;1900;34944;30;140
17;1;1900;50500;11.94;25.3
10;2;1901;11490;20.65;43.8
4;1;1973;759187;29.5;63
9;1;1936;127782;38;177
4;2;1920;9250;47;230
12;2;1880;16950;12;25.4
4;1;1923;147065;36;168
26;2;1900;9000;33.7;71
9;1;1963;243741;36;168
9;1;1926;203479;34;158
25;1;1930;22476;34;158
4;1;1927;204195;29;135
7;1;1911;51453;21;87
2;1;1927;238923;43.1;212
2;0;1910;93396;36.4;169
4;1;1923;33402;34;158
1;1;1927;208986;28.3;117
5;2;1910;11405;38.6;189
4;1;1961;431000;32;149
5;0;1911;39750;35.2;164
19;1;1931;460973;31.7;148
30;1;1948;61584;31;144
26;2;1900;11398;29.8;63
19;1;1939;32000;34;158
5;1;1900;37968;35;163
10;2;1926;16160;21.92;46.5
1;1;1924;149056;33;154
15;1;1938;62158;33.8;157
5;2;1920;7100;37.3;173
1;1;1920;14590;39;191
25;2;1930;4332;35;163
17;2;1910;15070;18.78;39.8
4;1;1925;196727;28.8;134
22;2;1907;17466;14;29.7
7;1;1901;66754;25;104
3;1;1910;121922;21;87
29;0;1925;56513;33.4;155
5;1;1959;62772;35;162
4;2;1930;8590;36;168
4;1;1915;51792;34;158
19;1;1969;870000;28.3;132
9;1;1918;126557;35;163
17;2;1920;15645;23.86;99
27;1;1929;120605;29.4;137
5;2;1915;13968;37.6;175
2;0;1900;25132;32.6;152
19;1;1970;124060;34;158
18;1;1954;218536;13;40.5
22;1;1926;47580;16;54
5;2;1910;8617;38.9;190
28;2;1930;14653;41.2;202
28;2;1928;11802;34.6;161
4;1;1916;164672;26.8;111
9;2;1910;11655;38;177
6;2;1910;9660;32;68
1;2;1910;10060;41;201
9;1;1912;80613;33;154
15;2;1910;31715;30;140
27;2;1920;10000;36.5;77
15;2;1925;18612;26.9;111
19;1;1927;215715;29;135
7;1;1910;84367;25;104
4;1;1929;93924;34.5;161
4;1;1966;202777;33;154
1;1;1962;223000;32;149
4;1;1912;53220;30;140
7;2;1910;18354;32;149
4;1;1915;68731;38;178
7;1;1926;28764;28;116
12;1;1926;22224;12;25.4
15;2;1920;8020;36.2;168
7;1;1964;20358;26;108
6;1;1940;43809;27;112
1;1;1958;218064;33;154
1;1;1931;166862;33;153
1;1;1930;103360;33;154
4;1;1925;9820;35;163
14;2;1900;18056;35;163
4;1;1962;117879;34;159
14;0;1885;61999;33;154
3;2;1910;9280;23.5;55
27;1;1920;15600;38.9;191
14;0;1900;33250;30;140
6;1;1910;20160;29;135
4;2;1910;8320;34;159
8;1;1959;212000;21;87
22;2;1900;26650;16.5;35
7;1;1926;82655;22;91
28;2;1937;12948;29.8;63
1;2;1910;13500;36;167
25;1;1956;99238;34;158
4;2;1911;10340;40;196
20;1;1938;32415;38;177
34;2;1930;20190;16.38;34.7
12;2;1910;12570;16;33.9
3;1;1910;55868;19;71
4;1;1962;94727;30.5;143
4;2;1920;9530;37;182
30;1;1933;18506;36;168
14;1;1900;40130;30;140
4;1;1963;217720;32;149
5;0;1905;32000;34.4;160
18;1;1963;201206;15;31.8
1;1;1962;143590;33;153
5;2;1900;10105;32.2;149
2;1;1926;101840;32.7;152
1;1;1940;224000;40.1;197
2;0;1900;64377;33;154
32;1;1920;14292;35;163
18;1;1968;43196;15;51
3;1;1920;48000;23;95
1;1;1960;192666;40.2;197
2;0;1900;40061;34.9;163
15;1;1900;23882;34.3;160
22;2;1922;40720;12;33.6
4;1;1963;179576;28.9;135
4;1;1912;39687;36;168
18;1;1942;117678;15;51
28;2;1910;13044;28.8;119
23;2;1900;6880;32.7;153
19;1;1960;206945;34;158
4;1;1930;86553;30;140
12;1;1902;44268;11;28.5
29;1;1927;60610;31.3;146
3;1;1912;82938;18;67
18;1;1951;89300;15;51
30;1;1924;127000;24;99
19;1;1940;106000;34;158
6;2;1910;15500;32;149
9;1;1917;212000;35;163
23;1;1927;109012;33.8;157
15;1;1900;18700;28.3;132
19;1;1929;110934;32;149
17;2;1930;13925;12.82;27.2
4;1;1923;65656;32;149
7;1;1966;199526;25;53
6;2;1910;9920;31;144
4;1;1925;17740;34;158
9;1;1927;100056;30;140
2;0;1916;22170;23.46;97
12;1;1920;50986;14;29.6
17;1;1963;157728;14.74;31.3
1;1;1925;57728;42.2;208
34;1;2005;98107;26.6;110
5;2;1910;9885;37.4;174
17;2;1900;13493;12.82;27.2
18;2;1940;50655;15.47;52
4;1;1928;92216;32;149
20;0;1902;33080;32;149
4;1;1963;296940;31.5;147
29;0;1909;34689;33.7;157
12;1;1910;29520;13;27.6
7;1;1926;69125;26;108
4;1;1930;9605;36;168
13;1;1940;60642;21.22;88
26;1;1935;1396625;13.75;42.8
3;1;1925;33750;26;108
4;1;1961;109262;29;135
2;0;1908;45240;32.1;149
4;1;1928;41600;34;158
7;1;1926;107243;24;100
5;1;1900;52200;30.2;141
20;0;1906;50672;32;149
10;2;1905;15370;18.14;38.5
18;2;1913;17615;14;29.7
19;1;1928;128798;32;149
3;1;1913;160764;20;75
15;1;1938;57606;28.6;133
4;1;1928;62789;35;162
23;1;1964;253489;34;158
7;1;1922;112000;24;99
15;1;1889;46620;32.1;149
3;1;1924;158615;20.5;77
5;2;1910;10055;39.8;195
15;0;1902;23650;33.6;156
19;1;1960;13872;31;144
2;1;2006;45000;46.7;229
9;1;1916;160203;36;168
27;2;1940;15000;34;159
5;1;1910;10000;35;163
26;3;1900;12325;32.2;150
4;1;1928;48600;34;158
7;1;1910;121313;23;96
15;2;1910;10800;37;79
5;2;1915;15798;39.9;196
26;2;1920;8085;21.7;46
3;2;1930;17860;23;54
23;1;1922;78983;34.2;160
27;2;1900;14376;33;70
28;2;1920;65585;28.9;120
29;2;1920;9435;33.4;71
11;1;1900;54824;15.04;51
31;0;1920;29610;28.9;120
1;1;1930;90247;33;154
4;2;1910;8020;34;158
15;0;1938;126134;34.9;163
5;2;1900;9700;38.1;188
1;1;1959;146061;33;153
6;1;1940;24426;29;135
19;1;1955;336543;32;149
28;2;1900;12074;34.3;160
18;1;1920;92430;15;51
23;1;1962;44912;35;163
25;2;1930;7250;37.2;174
13;1;1926;28668;20.74;77
17;1;1940;39888;11.42;24.22
5;0;1900;50962;35.3;164
28;2;1910;10154;22.5;47.7
7;1;1920;25288;25;104
22;2;1925;21270;15;51
4;2;1980;13320;38;177
23;1;1955;91745;34;158
19;1;1939;42000;35;163
15;1;1930;49816;32.1;150
12;1;1940;42528;14;29.6
12;2;1890;15820;12;25.5
1;1;1954;79092;35;163
4;2;1910;8935;33;153
12;1;1920;67254;13;27.5
2;1;1923;51113;38.2;187
17;1;1925;24355;14.29;48.5
28;2;1900;7986;36.5;170
16;1;1941;106983;15.22;52
2;1;1960;131126;38.1;188
4;2;1920;8870;32;149
5;1;1920;13484;32.3;151
14;2;1900;12750;35;163
9;1;1950;676308;36;167
12;2;1900;12510;16;33.9
2;0;1900;55065;32.7;152
3;2;1915;9619;23.5;97
30;1;1927;142283;45.5;223
7;1;1920;96627;23;95
6;2;1910;8550;31;144
26;1;1955;923000;22;91
7;2;1921;12090;37;172
23;1;1984;14575;35;163
9;1;1926;60300;35;163
4;1;1910;32690;37;172
6;2;1901;9645;31;144
11;2;1900;19200;14.57;30.9
2;1;1910;36366;33;154
14;1;1920;32028;34;158
3;1;1920;31590;26;108
4;2;1920;10975;41;201
19;1;1960;37732;35;163
1;1;1975;5026701;22.7;94
7;1;1925;73987;25;104
3;1;1923;61779;16;54
20;0;1906;48991;32;149
4;2;1925;8878;32;149
5;0;1920;19032;35.2;164
7;1;1929;77188;24;99
21;1;1957;155000;31;145
1;1;1924;160890;34.1;158
22;1;1913;23538;12;25.4
12;1;1920;18600;14;43.6
7;1;1928;152016;25;103
30;1;1925;90425;35.5;166
11;2;1925;6850;15.99;33.9
19;1;1927;73800;36;168
19;1;1960;431730;35;163
19;1;1979;28158;39;182
2;2;1870;12632;42;206
1;1;1924;71928;33.4;156
22;1;1916;52950;16;34
4;2;1920;8589;41;201
7;1;1940;168982;25;104
7;1;1930;32725;28;116
11;1;1926;93857;19.29;72
23;1;1957;149786;34;159
26;2;1920;18753;19.75;41.9
20;1;1930;140000;34;159
21;1;1924;43796;34;158
1;1;1923;39581;35;163
23;1;1984;114407;33.2;155
13;1;1905;36623;25.4;105
15;2;1900;6072;31.3;146
15;1;1902;25123;31.8;148
20;1;1964;350000;32;149
7;1;1914;83329;25;104
1;1;1961;88198;32.9;153
27;1;1920;12300;45.3;222
15;0;1911;52543;31.4;146
9;2;1900;9603;41;201
20;1;2005;119136;42;206
2;1;1905;64218;32.7;152
1;1;1924;56126;34;158
14;3;1920;26058;45;221
22;1;1914;63084;12;25.4
7;1;1913;136062;26;108
7;1;1910;31760;24;99
23;1;1964;175000;34;158
28;2;1929;6175;38.5;82
14;0;1900;51925;36;168
30;2;1920;10570;32;149
7;1;1930;27986;28;116
5;2;1946;7470;38.8;190
7;1;1929;46800;22;91
1;1;1922;107034;38;177
19;1;1930;93999;30;139
5;1;1930;20370;32.4;151
14;2;1900;11628;35;163
1;1;1916;141978;42.2;207
7;1;1926;55120;29;120
7;1;1925;128194;24;99
4;1;1930;230940;30;140
3;1;1940;159770;22;91
5;2;1920;8125;38.2;187
26;2;1920;9850;23.25;49.3
1;1;1925;132926;44.3;217
2;1;1925;45248;32.9;153
10;1;1905;37038;11.89;25.2
13;1;1910;33696;25.2;104
35;2;1920;7545;26;108
11;1;1918;84612;19.29;72
26;1;1929;216200;28.9;120
9;1;1905;64899;36;168
11;1;1926;132877;19.29;72
12;1;1910;38925;12;33.7
1;1;1930;74726;33;154
2;0;1908;75165;32.2;150
16;1;1925;52332;15;51
5;1;1925;19700;35.5;165
36;1;1965;306862;36;168
3;1;1945;37572;30.5;142
1;1;1962;62920;30;140
4;2;1940;8675;36;167
12;1;1900;19400;14;29.7
9;1;1906;42857;33;154
4;1;1955;28000;33;154
28;2;1900;10800;27.7;115
9;1;1950;33880;33;154
9;1;1930;195491;36;168
4;1;1930;56017;32;149
34;1;1961;992000;16.76;35.5
4;1;1920;15030;30;64
15;1;1983;11852;32.9;154
4;1;1927;104445;34;158
13;1;1926;58560;17.55;66
19;1;1964;243425;37;173
4;1;1981;232400;30;140
7;1;1948;56778;23;95
4;1;1940;166742;32.4;151
30;1;1964;65000;30;140
5;2;1910;17217;38.9;191
1;1;1959;190358;33.5;156
2;2;1846;27308;41;201
5;1;1987;60000;39.2;192
4;1;1925;136240;31.4;146
12;1;1910;17862;17;36.1
28;2;1910;10184;22.5;47.7
7;2;1910;8920;34;158
7;2;1900;20945;26;55
4;1;1929;114640;30;140
23;1;1932;218364;34;158
28;2;1923;19632;40.5;199
30;2;1930;9535;33;70
25;2;1950;25259;35;163
14;0;1900;32921;30;140
1;1;1950;306573;38.1;187
7;1;1927;43896;28;116
9;1;1905;142894;35;163
7;2;1890;11700;36;168
3;2;1920;9640;19.5;73
20;0;1905;57115;31;144
5;2;1915;8125;38.2;187
7;1;1920;39843;22;91
4;1;1957;97755;33;153
1;1;1928;63229;34;158
4;1;1915;21875;34;158
15;2;1920;11150;35.9;167
28;2;1900;10800;28.2;117
19;1;1962;108131;29.3;137
26;2;1925;14425;34.4;160
4;1;1924;65434;36;168
15;0;1920;22998;33;154
2;1;1961;82483;35;162
4;1;1925;66983;32;149
7;1;1930;325873;29;120
22;2;1909;15370;15;31.8
2;1;1960;651391;34.8;163
4;1;1973;138875;28.9;135
26;1;1960;986641;20.9;78
22;2;1923;21705;18;67
15;1;1900;26400;32;149
3;2;1925;9546;23.5;55
4;1;1973;364623;33.4;156
4;2;1910;7290;32;150
7;1;1910;19450;23;95
4;2;1920;8825;42;206
28;2;1900;15086;29.8;63
15;1;1920;18700;28.3;132
7;1;1917;150033;23;95
4;1;1910;23948;35;163
1;1;1928;81622;33;153
1;1;1960;170106;31;145
14;1;1920;30000;33.5;156
4;1;1955;312550;36;168
9;1;1926;147001;34;159
27;2;1920;21178;35.6;166
20;1;1925;11380;34;158
4;1;1962;309204;35;82
9;1;1927;53427;34;158
17;2;1940;34560;15.94;33.9
7;1;1915;69148;26;108
4;1;1954;78700;32;149
22;2;1910;17466;14;29.7
9;1;1930;61568;36;167
4;1;1905;25800;35;163
20;0;1910;48685;32;149
4;1;1915;57491;33;154
16;2;1925;17410;13;27.6
1;1;1963;560525;29.9;139
27;2;1910;8536;35.4;165
4;1;1961;120034;34;158
1;1;1949;153525;33;154
15;2;1910;8445;35.3;165
32;1;1941;80000;35;163
7;1;1928;156303;23;95
9;1;1913;114150;32;149
4;1;1928;9704;36;168
6;2;1910;10050;31;144
2;1;1900;18616;37.3;174
11;2;1920;18884;14.57;30.9
4;1;1928;218907;29;135
29;0;1925;50968;31.4;146
17;1;1900;156986;14.08;43.8
4;1;1980;50874;35;163
2;0;1908;30378;36.2;169
32;2;1910;7220;33;154
2;0;1910;33923;34.8;162
14;1;1920;23628;35.3;164
4;1;1928;120835;30;140
3;1;1921;35040;30.5;142
5;1;1920;81040;33.3;155
1;1;1910;106163;41.2;203
13;1;1926;65496;17.55;66
12;2;1926;12650;16;33.9
17;2;1920;10870;20.25;43
7;1;1931;349342;26;108
28;2;1900;15308;32.2;150
18;2;1928;47825;11.5;32.4
28;2;1901;23172;29.3;62
15;1;1913;32718;32.1;149
19;1;1927;65142;30;140
4;1;1925;156287;26.3;109
7;1;1913;140076;23;95
2;2;1900;14196;42.3;208
30;1;1963;101278;34;158
29;0;1925;74100;31.7;147
9;1;1925;109069;36;168
9;1;1948;22400;31;144
4;1;1962;94404;32;149
21;1;1924;34900;33;154
4;1;1928;109157;29;135
2;1;1930;55800;45;220
23;1;1940;127089;34;158
22;1;1926;78425;12;33.7
9;1;1902;59431;29;135
4;1;1961;153347;30;140
4;2;1920;8700;32;149
15;1;2003;95656;32.4;151
25;1;1945;16200;36.7;171
17;1;2004;29387;14.18;44.2
9;1;1922;28168;42;206
4;1;1987;218170;40;196
12;2;1920;19662;12;25.4
1;1;1959;117958;33;153
30;2;1920;9545;33;70
15;0;1909;49664;33.2;155
4;1;1912;145230;30.4;142
4;1;1929;40053;35;163
1;1;1917;173024;33;154
4;1;1928;61300;37;173
4;1;1915;128388;34;158
1;1;1907;59928;34;158
30;1;1962;418114;31;144
4;1;1980;25010;38;177
23;1;1916;40966;35.4;165
12;2;1910;16020;12;25.5
17;1;1917;158081;10.88;23.09
4;1;1917;59948;29.3;136
27;1;1910;22625;33;154
18;1;1920;75522;15;51
17;2;1920;25986;14.14;30
15;1;1927;32384;29.6;138
17;1;1985;212250;12.08;33.9
19;1;1960;247000;31;145
27;1;1920;25068;40;196
12;2;1920;24275;15;31.8
12;2;1910;22272;15;31.8
15;1;1963;247986;31;144
28;2;1920;17610;23.3;49.4
